time,frequency,confidence
0.000,565.972,0.194273
0.010,585.774,0.216195
0.020,217.639,0.024047
0.030,33.554,0.022841
0.040,37.541,0.016649
0.050,37.462,0.027804
0.060,37.001,0.026134
0.070,49.703,0.032790
0.080,48.607,0.075707
0.090,1767.596,0.015928
0.100,32.674,0.031072
0.110,949.148,0.039950
0.120,949.532,0.061564
0.130,32.771,0.204632
0.140,32.656,0.111388
0.150,32.503,0.035380
0.160,45.034,0.071979
0.170,46.460,0.039890
0.180,32.161,0.020154
0.190,48.973,0.156761
0.200,1317.490,0.007036
0.210,32.284,0.007809
0.220,1965.676,0.010938
0.230,32.189,0.050025
0.240,1318.252,0.016927
0.250,1320.140,0.029878
0.260,1328.681,0.018404
0.270,34.175,0.043897
0.280,32.588,0.030721
0.290,32.296,0.024499
0.300,32.258,0.010423
0.310,39.197,0.007925
0.320,32.591,0.007063
0.330,33.635,0.201277
0.340,33.440,0.138805
0.350,951.633,0.035204
0.360,885.519,0.043153
0.370,879.292,0.062198
0.380,868.833,0.036889
0.390,45.080,0.011114
0.400,1166.788,0.004770
0.410,1224.090,0.004001
0.420,1853.577,0.010759
0.430,33.672,0.027687
0.440,818.109,0.006829
0.450,32.211,0.015433
0.460,32.260,0.015343
0.470,32.933,0.019687
0.480,33.366,0.052833
0.490,47.520,0.017211
0.500,33.300,0.003626
0.510,1319.198,0.005600
0.520,33.253,0.014401
0.530,33.179,0.033577
0.540,57.125,0.005654
0.550,33.492,0.014400
0.560,33.469,0.011553
0.570,894.725,0.017229
0.580,1852.922,0.011960
0.590,1854.655,0.025312
0.600,1854.723,0.023053
0.610,1965.810,0.023972
0.620,1169.275,0.023655
0.630,1226.826,0.017101
0.640,47.805,0.039978
0.650,1314.851,0.019957
0.660,33.993,0.079368
0.670,34.359,0.016065
0.680,32.043,0.028058
0.690,939.206,0.008855
0.700,33.654,0.024179
0.710,1215.018,0.009553
0.720,32.573,0.019878
0.730,1792.838,0.026486
0.740,45.601,0.016030
0.750,964.159,0.004896
0.760,885.032,0.013847
0.770,1459.602,0.005604
0.780,1772.266,0.007250
0.790,32.248,0.011370
0.800,45.595,0.034786
0.810,32.589,0.009694
0.820,34.025,0.219135
0.830,33.701,0.241033
0.840,33.052,0.232456
0.850,33.746,0.184644
0.860,550.356,0.101025
0.870,32.661,0.088102
0.880,49.853,0.010838
0.890,32.950,0.011338
0.900,32.277,0.041316
0.910,1153.198,0.037905
0.920,78.176,0.068733
0.930,124.030,0.165167
0.940,87.632,0.144060
0.950,114.687,0.393373
0.960,43.840,0.494354
0.970,43.658,0.751370
0.980,43.651,0.739455
0.990,43.624,0.766463
1.000,43.564,0.504968
1.010,43.569,0.703818
1.020,87.038,0.523147
1.030,43.637,0.710056
1.040,43.525,0.782257
1.050,43.624,0.775398
1.060,43.534,0.762523
1.070,43.549,0.643998
1.080,43.510,0.758318
1.090,86.719,0.487154
1.100,86.734,0.639069
1.110,43.512,0.528288
1.120,43.475,0.793892
1.130,43.327,0.708058
1.140,43.437,0.813539
1.150,43.573,0.941500
1.160,43.619,0.935144
1.170,43.586,0.910761
1.180,43.505,0.915556
1.190,43.591,0.931270
1.200,43.529,0.924642
1.210,43.613,0.882950
1.220,43.633,0.926192
1.230,43.608,0.893570
1.240,43.514,0.875805
1.250,43.518,0.711528
1.260,87.120,0.525510
1.270,87.222,0.680208
1.280,43.542,0.589413
1.290,43.541,0.583608
1.300,43.567,0.544254
1.310,43.596,0.630763
1.320,87.358,0.488497
1.330,87.231,0.495052
1.340,43.612,0.575872
1.350,43.687,0.763884
1.360,43.596,0.689874
1.370,43.654,0.562065
1.380,43.651,0.761867
1.390,43.624,0.533328
1.400,87.110,0.494188
1.410,87.070,0.542658
1.420,87.021,0.531864
